customer_id,age,gender,country,tenure_months,monthly_spend,num_transactions,last_login_days,support_tickets,payment_method,is_active,total_spend,avg_transaction_value,target_churn,target_revenue,target_fraud
1502,59,Male,Germany,2,185.3608904683816,52,18,5,PayPal,0,370.7217809367632,6.994750583712513,1,204.37229672704933,0
2587,25,Female,US,54,108.87922179977724,35,17,7,Card,1,5879.477977187971,163.31883269966588,1,98.548067507688,0
2654,38,Female,Germany,48,221.92747377964565,5,2,5,PayPal,1,10652.518741422991,1775.4197902371652,0,262.81008939802024,0
1056,48,Male,US,26,275.3464325583192,14,26,5,Card,1,7159.007246516298,477.2671497677532,1,243.49860229296874,0
706,53,Male,UK,15,444.0167830548377,95,20,0,Card,1,6660.251745822565,69.37762235231838,1,476.6038864319865,1
107,18,Male,India,59,218.96999810728693,54,20,0,PayPal,0,12919.229888329928,234.89508887872597,1,257.06619053129805,0
590,43,Female,UK,5,25.262553503140808,98,23,7,Crypto,1,126.31276751570404,1.2758865405626671,1,25.124903575294987,1
2469,59,Female,US,48,433.89043008941087,32,8,2,Crypto,0,20826.74064429172,631.1133528573248,0,372.70647101026674,0
2414,25,Male,UK,53,35.46337301617898,37,28,3,Card,1,1879.5587698574857,49.46207289098646,1,40.50098539253141,0
1601,41,Female,UK,55,273.4680425082198,46,1,2,Crypto,1,15040.74233795209,320.01579442451253,0,274.7708569418472,0
2465,45,Male,US,45,480.17491585539125,76,10,4,Crypto,0,21607.871213492606,280.62170407133254,0,441.8975365087575,0
229,19,Male,India,58,27.43158038600736,3,11,2,Card,1,1591.0316623884269,397.7579155971067,0,31.539887484348533,0
916,60,Male,UK,59,56.46093774316009,21,12,7,Card,0,3331.1953268464454,151.41796940211114,0,54.16127814998776,0
795,35,Female,India,15,402.554074284313,93,1,9,Crypto,0,6038.311114264695,64.23735227941165,0,398.79503137783945,1
3022,39,Female,US,18,487.39914277662103,92,15,3,Crypto,1,8773.18456997918,94.33531795676537,0,425.11417787288946,1
3544,50,Male,India,54,493.66912726340274,13,10,9,Card,0,26658.13287222375,1904.152348015982,0,499.35887797740514,0
1074,23,Female,India,23,416.2921628036451,72,24,5,PayPal,0,9574.719744483838,131.16054444498408,1,383.84039899055085,0
3352,38,Female,India,57,216.55821360586486,44,14,7,PayPal,0,12343.818175534298,274.3070705674288,0,187.9056728945056,0
1745,46,Female,US,44,68.42662501081229,73,14,4,Card,1,3010.7715004757406,40.68610135778028,0,73.3209944853336,0
1085,62,Male,US,28,73.32666024607545,84,3,6,Crypto,1,2053.1464868901126,24.154664551648384,0,68.01380229583448,1
927,25,Female,India,53,377.663719279232,31,23,8,PayPal,1,20016.177121799297,625.505535056228,1,308.5703089962243,0
3050,56,Female,Germany,58,87.09039732487736,12,5,3,Crypto,0,5051.243044842887,388.55715729560666,0,101.94681517000116,0
1118,57,Male,India,22,137.44937029917082,44,14,8,Crypto,1,3023.886146581758,67.19746992403907,0,143.7139927843943,0
643,26,Female,India,18,233.0800150623391,24,19,0,Card,1,4195.440271122104,167.81761084488414,1,198.69492311026335,0
4768,18,Male,India,24,93.9949038201639,87,21,8,PayPal,1,2255.8776916839333,25.634973769135605,1,88.41943055902541,1
502,56,Male,Germany,57,283.27212115957974,10,14,8,Crypto,0,16146.510906096046,1467.8646278269132,0,256.1013448829345,0
4067,39,Male,UK,36,219.05127399957746,20,29,2,PayPal,1,7885.845863984789,375.5164697135614,1,191.50822797713266,0
334,53,Male,US,34,290.3350843751174,39,11,6,PayPal,1,9871.392868753992,246.7848217188498,0,305.8411525644614,0
4685,44,Female,Germany,22,411.23551552765275,25,23,5,Crypto,0,9047.18134160836,347.9685131387831,1,360.5438057310882,0
487,43,Female,India,34,184.30749671720946,64,7,7,Card,1,6266.454888385122,96.40699828284804,0,175.39914645398605,0
1963,45,Male,US,40,314.3760064841114,60,8,5,Card,0,12575.040259364454,206.14820097318778,0,347.26951898677385,0
394,40,Female,Germany,3,81.55037470581158,92,1,0,Card,1,244.65112411743473,2.630657248574567,0,72.30208183633486,1
4843,60,Male,UK,50,158.46000820070162,80,4,9,Crypto,0,7923.000410035082,97.81481987697632,0,188.20822153411743,0
4867,50,Male,Germany,34,35.45428260192169,10,29,8,Crypto,0,1205.4456084653375,109.58596440593978,1,35.19173552624331,0
1756,23,Female,UK,8,347.82292097056984,23,27,2,Card,1,2782.5833677645587,115.94097365685661,1,291.1749774956638,0
2516,66,Male,US,26,114.87093493741537,39,16,7,Crypto,0,2986.6443083727995,74.66610770931999,1,94.07924556651038,0
3586,31,Male,US,17,410.96382470265513,6,25,7,Crypto,0,6986.385019945137,998.0550028493053,1,363.6272306041562,0
4316,53,Female,US,4,341.878424396929,19,17,2,PayPal,1,1367.513697587716,68.3756848793858,1,380.3541142768744,0
4967,49,Male,India,29,315.57910351045973,66,3,7,Crypto,1,9151.794001803331,136.59394032542286,0,301.32844019300865,0
2100,25,Female,India,11,445.42195748067184,35,28,0,PayPal,0,4899.64153228739,136.1011536746497,1,534.4722263006157,0
3600,31,Male,India,28,38.31373084898105,82,6,0,PayPal,1,1072.7844637714695,12.925114021343006,0,32.751296366898295,1
4122,52,Female,India,26,462.094167705825,41,13,6,PayPal,1,12014.448360351449,286.05829429408215,0,385.6549112691538,0
30,42,Male,India,2,129.89232134693373,83,14,4,PayPal,1,259.78464269386745,3.0926743177841365,0,134.83608835012427,1
66,53,Female,Germany,26,38.56877996345194,3,27,4,Crypto,0,1002.7882790497504,250.6970697624376,1,41.844177845716914,0
839,27,Female,India,15,212.31576725021756,76,5,4,Crypto,0,3184.7365087532635,41.36021439939303,0,238.97631571391582,0
3907,21,Male,US,47,246.39334463762654,70,24,6,Crypto,0,11580.487197968447,163.10545349251333,1,261.66268580625876,0
3774,21,Female,UK,8,184.20560276452437,54,20,4,PayPal,0,1473.644822116195,26.793542220294455,1,211.56060731991212,0
4636,62,Female,Germany,45,402.8476877550985,96,9,9,Card,1,18128.145948979432,186.88810256679827,0,327.06251894835435,1
3162,64,Female,India,18,468.08090081716875,80,29,2,PayPal,0,8425.456214709038,104.01797795937084,1,525.974284004211,0
2660,56,Female,Germany,7,488.2607329874976,49,18,6,PayPal,0,3417.825130912483,68.35650261824966,1,490.8155886640211,0
4616,44,Male,UK,6,92.71141425437992,76,25,2,Card,1,556.2684855262795,7.224266045795837,1,99.01299595685839,0
4629,58,Female,India,30,157.01493785593544,84,15,0,Crypto,1,4710.448135678063,55.41703689033016,0,183.52979811065586,1
2452,38,Female,Germany,58,182.54705344950483,78,24,1,Card,0,10587.72910007128,134.02188734267443,1,186.48779079949193,0
2847,34,Male,India,10,328.5456842157805,53,22,0,PayPal,1,3285.456842157805,60.84179337329269,1,388.6832931670454,0
1145,57,Female,UK,44,416.6037100793932,5,6,6,Crypto,0,18330.5632434933,3055.09387391555,0,473.1012741765219,0
3079,19,Male,India,53,476.49580387933094,25,22,3,Card,1,25254.27760560454,971.3183694463285,1,539.0954203122113,0
1104,53,Male,Germany,22,356.8308995627767,86,2,6,PayPal,1,7850.279790381088,90.23310103886308,0,404.4503716947317,1
169,32,Female,Germany,33,113.41724207579128,28,11,8,Card,1,3742.7689885011123,129.06099960348664,0,101.61058411968355,0
1671,39,Female,US,48,346.5024180481606,69,13,3,Card,0,16632.11606631171,237.60165809016732,0,313.58680576051603,0
2571,36,Female,US,6,138.62963361454078,48,14,7,Card,1,831.7778016872446,16.975057177290708,0,158.65312099047665,0
2378,62,Female,India,10,162.70428762830687,73,14,4,PayPal,0,1627.0428762830688,21.987065895717148,0,186.9698796059511,0
4396,68,Male,UK,14,412.6926966772004,18,18,5,PayPal,0,5777.697753480806,304.0893554463582,1,342.348503400794,0
4258,54,Female,India,56,133.4364884525398,3,6,5,Card,1,7472.443353342229,1868.1108383355572,0,106.7770728146206,0
3863,56,Female,India,41,277.1031933666713,7,2,2,Card,1,11361.230928033523,1420.1538660041904,0,308.3931056605295,0
24,19,Male,India,7,354.7814082688289,86,22,6,Crypto,0,2483.4698578818025,28.545630550365544,1,343.58017627945145,1
2634,29,Female,US,2,207.83976150377248,58,23,0,PayPal,1,415.67952300754496,7.0454156441956775,1,180.13335879061148,0
3341,49,Female,US,16,358.49070988033026,16,14,5,PayPal,1,5735.851358085284,337.40302106384024,0,312.35339359273917,0
2216,42,Male,US,21,426.5825210578663,71,19,5,PayPal,0,8958.232942215192,124.419901975211,1,509.0395832251957,0
3683,23,Female,UK,32,217.71118285276955,91,5,6,PayPal,1,6966.757851288626,75.72562881835462,0,217.2412316001745,1
4725,22,Male,Germany,59,82.61093817600631,11,3,7,Card,0,4874.045352384373,406.17044603203107,0,84.90237259045306,0
1908,29,Female,UK,52,239.35057262144232,22,23,8,Crypto,0,12446.229776315002,541.140425057174,1,284.6600664479495,0
85,25,Male,Germany,27,353.3801475378915,94,26,7,Card,0,9541.263983523071,100.43435772129548,1,314.47970654708945,1
228,66,Male,Germany,42,418.9410640245179,28,22,7,Crypto,1,17595.524689029753,606.7422306561983,1,472.26616496401675,0
297,65,Male,UK,56,416.6091919340389,23,4,0,PayPal,1,23330.11474830618,972.0881145127574,0,448.04646768046916,0
1002,68,Female,India,37,199.26282406050657,2,24,1,Card,1,7372.724490238743,2457.574830079581,1,204.0248219730214,0
2139,39,Male,US,52,156.94290602730953,71,10,4,Crypto,0,8161.031113420096,113.34765435305688,0,160.40982443808474,0
712,44,Female,Germany,7,430.3136254362502,35,17,3,Card,1,3012.1953780537515,83.67209383482643,1,485.48205261156596,0
2802,57,Male,UK,24,246.78095784989486,76,11,2,Crypto,0,5922.742988397476,76.91874010905813,0,239.25225682753563,0
2528,35,Male,US,22,176.56882941339643,19,26,5,Crypto,1,3884.514247094721,194.22571235473606,1,156.92749601071412,0
3753,50,Male,India,18,428.3745836627274,48,5,2,PayPal,0,7710.742505929093,157.3620919577366,0,349.7286627051977,0
